id,truck_category,distance_km,traffic_level,time_of_day,is_peak_hour,pickup_area,delivery_area,base_price_npr,accepted_price_npr,price_per_km
95,SMALL,7.4,Medium,Afternoon,0,Koteshwor,Bhaktapur,400,434.85,58.76
96,SMALL,5.2,Heavy,Morning,1,Thamel,Budhanilkantha,400,610.41,117.39
97,LARGE,2.9,Medium,Afternoon,0,Swayambhu,Chabahil,1200,1402.71,483.69
98,SMALL,9.3,Medium,Afternoon,0,Budhanilkantha,Lazimpat,400,431.72,46.42
99,SMALL,8.4,Very Heavy,Evening,1,Bhaktapur,Kirtipur,400,791.17,94.19
100,MEDIUM,8.8,Very Heavy,Morning,1,Kalanki,Patan,700,1233.32,140.15
101,SMALL,5.4,Heavy,Morning,1,Lazimpat,Thamel,400,584.47,108.24
102,MEDIUM,6.3,Light,Afternoon,0,Chabahil,Maharajgunj,700,700.0,111.11
103,MEDIUM,6.7,Medium,Afternoon,0,Bhaktapur,Kalanki,700,801.54,119.63
104,SMALL,5.4,Heavy,Morning,1,Maharajgunj,Patan,400,599.61,111.04
105,MEDIUM,10.6,Medium,Afternoon,0,Budhanilkantha,Chabahil,700,765.83,72.25
106,SMALL,8.4,Very Heavy,Morning,1,Chabahil,Koteshwor,400,715.03,85.12
107,SMALL,6.9,Light,Afternoon,0,Chabahil,Lazimpat,400,421.59,61.1
108,MEDIUM,10.7,Very Heavy,Evening,1,Koteshwor,Swayambhu,700,1310.24,122.45
109,SMALL,4.8,Heavy,Morning,1,Patan,New Road,400,612.09,127.52
110,SMALL,5.6,Very Heavy,Morning,1,Chabahil,Patan,400,658.94,117.67
111,SMALL,11.4,Heavy,Morning,1,Baneshwor,Gaushala,400,597.26,52.39
112,SMALL,9.6,Very Heavy,Morning,1,Budhanilkantha,Bhaktapur,400,696.95,72.6
113,SMALL,9.8,Light,Afternoon,0,Bhaktapur,Baneshwor,400,400.73,40.89
114,SMALL,8.3,Very Heavy,Morning,1,Swayambhu,Kirtipur,400,680.83,82.03
115,SMALL,7.2,Heavy,Morning,1,Gaushala,Maharajgunj,400,589.09,81.82
116,SMALL,6.9,Heavy,Evening,1,Bhaktapur,Thamel,400,632.95,91.73
117,SMALL,2.3,Heavy,Evening,1,Dillibazar,New Road,400,649.82,282.53
118,SMALL,10.1,Medium,Afternoon,0,Patan,Kalanki,400,435.31,43.1
119,SMALL,10.5,Light,Night,0,Bhaktapur,Dillibazar,400,400.0,38.1
120,SMALL,11.9,Very Heavy,Morning,1,Kirtipur,Dillibazar,400,768.55,64.58
121,SMALL,8.5,Heavy,Morning,1,Swayambhu,Maharajgunj,400,670.51,78.88
122,MEDIUM,6.4,Very Heavy,Morning,1,Thamel,Budhanilkantha,700,1168.64,182.6
123,MEDIUM,6.9,Medium,Afternoon,0,Budhanilkantha,Lazimpat,700,700.0,101.45
124,SMALL,6.0,Light,Afternoon,0,Koteshwor,Bhaktapur,400,432.08,72.01
125,SMALL,9.4,Medium,Afternoon,0,Kalanki,Chabahil,400,419.76,44.66
126,SMALL,11.6,Heavy,Morning,1,Maharajgunj,Kirtipur,400,565.77,48.77
127,SMALL,5.4,Heavy,Evening,1,Kalanki,Lazimpat,400,659.22,122.08
128,SMALL,12.0,Medium,Afternoon,0,Budhanilkantha,Dillibazar,400,400.14,33.34
129,MEDIUM,7.4,Light,Afternoon,0,Lazimpat,Swayambhu,700,747.66,101.04
130,MEDIUM,7.3,Very Heavy,Morning,1,Baneshwor,Budhanilkantha,700,1191.05,163.16
131,MEDIUM,5.9,Medium,Afternoon,0,Budhanilkantha,Kalanki,700,825.6,139.93
132,SMALL,10.1,Heavy,Morning,1,Lazimpat,Kirtipur,400,607.92,60.19
133,SMALL,11.5,Medium,Afternoon,0,Kirtipur,Budhanilkantha,400,467.48,40.65
134,SMALL,5.2,Heavy,Morning,1,Swayambhu,Thamel,400,671.87,129.21
135,MEDIUM,10.3,Medium,Afternoon,0,Maharajgunj,Chabahil,700,794.76,77.16
136,SMALL,4.8,Heavy,Evening,1,New Road,Patan,400,572.05,119.18
137,SMALL,6.6,Heavy,Evening,1,Thamel,Chabahil,400,656.3,99.44
138,SMALL,6.6,Light,Night,0,Swayambhu,Kirtipur,400,400.0,60.61
139,SMALL,5.6,Light,Afternoon,0,Swayambhu,New Road,400,400.0,71.43
140,MEDIUM,5.7,Medium,Afternoon,0,Swayambhu,Koteshwor,700,743.4,130.42
141,SMALL,8.3,Very Heavy,Morning,1,Baneshwor,Patan,400,745.67,89.84
142,SMALL,10.3,Heavy,Morning,1,Chabahil,Thamel,400,633.93,61.55
143,MEDIUM,8.7,Very Heavy,Morning,1,Thamel,Maharajgunj,700,1174.2,134.97
144,LARGE,6.3,Medium,Afternoon,0,Maharajgunj,Gaushala,1200,1233.84,195.85
145,SMALL,8.2,Heavy,Morning,1,Maharajgunj,Kirtipur,400,604.72,73.75
146,SMALL,5.9,Heavy,Evening,1,Bhaktapur,Kalanki,400,568.79,96.41
147,SMALL,5.7,Medium,Afternoon,0,Dillibazar,Gaushala,400,448.42,78.67
148,LARGE,11.8,Medium,Afternoon,0,Patan,Chabahil,1200,1320.35,111.89
149,MEDIUM,1.5,Very Heavy,Morning,1,Maharajgunj,Lazimpat,700,1326.19,884.13
150,SMALL,7.9,Very Heavy,Evening,1,Kalanki,Maharajgunj,400,716.88,90.74
151,SMALL,11.4,Medium,Afternoon,0,Koteshwor,Patan,400,457.13,40.1
152,MEDIUM,1.5,Medium,Afternoon,0,Thamel,New Road,700,741.62,494.41
153,MEDIUM,12.7,Light,Afternoon,0,New Road,Bhaktapur,700,720.05,56.7
154,MEDIUM,10.2,Medium,Afternoon,0,Patan,Koteshwor,700,781.64,76.63
155,MEDIUM,11.9,Light,Night,0,Swayambhu,Thamel,700,700.0,58.82
156,SMALL,9.5,Light,Afternoon,0,Budhanilkantha,Chabahil,400,427.68,45.02
157,SMALL,7.9,Medium,Afternoon,0,Koteshwor,Budhanilkantha,400,422.3,53.46
158,MEDIUM,10.0,Very Heavy,Evening,1,Patan,Lazimpat,700,1329.68,132.97
159,LARGE,10.2,Heavy,Morning,1,Maharajgunj,Kirtipur,1200,1878.24,184.14
160,SMALL,7.6,Light,Afternoon,0,Baneshwor,Lazimpat,400,411.26,54.11
161,SMALL,14.2,Very Heavy,Morning,1,Gaushala,Swayambhu,400,657.42,46.3
162,SMALL,9.0,Heavy,Morning,1,Thamel,Kalanki,400,638.0,70.89
163,SMALL,12.0,Light,Afternoon,0,Budhanilkantha,Dillibazar,400,400.0,33.33
164,MEDIUM,1.5,Light,Afternoon,0,Gaushala,Chabahil,700,700.0,466.67
165,SMALL,8.5,Heavy,Evening,1,Swayambhu,New Road,400,623.56,73.36
166,SMALL,8.4,Light,Afternoon,0,Lazimpat,Koteshwor,400,400.0,47.62
167,SMALL,10.6,Light,Afternoon,0,Koteshwor,Bhaktapur,400,400.0,37.74
168,SMALL,3.6,Heavy,Evening,1,Baneshwor,Dillibazar,400,571.39,158.72
169,SMALL,9.3,Very Heavy,Morning,1,Gaushala,Kirtipur,400,694.85,74.72
170,SMALL,6.0,Light,Night,0,Maharajgunj,Kalanki,400,400.0,66.67
171,LARGE,7.0,Very Heavy,Morning,1,New Road,Chabahil,1200,2232.35,318.91
172,MEDIUM,8.0,Very Heavy,Evening,1,Koteshwor,Bhaktapur,700,1214.24,151.78
173,SMALL,5.8,Heavy,Evening,1,Swayambhu,Kalanki,400,663.33,114.37
174,LARGE,13.6,Medium,Afternoon,0,Chabahil,Kalanki,1200,1205.66,88.65
175,MEDIUM,9.6,Medium,Afternoon,0,New Road,Swayambhu,700,777.05,80.94
176,SMALL,11.0,Medium,Afternoon,0,Budhanilkantha,Bhaktapur,400,477.11,43.37
177,SMALL,6.3,Medium,Afternoon,0,Swayambhu,Baneshwor,400,415.02,65.88
178,SMALL,8.3,Very Heavy,Evening,1,Bhaktapur,Kirtipur,400,758.91,91.43
179,SMALL,2.9,Heavy,Morning,1,Swayambhu,Chabahil,400,658.75,227.16
180,SMALL,6.0,Very Heavy,Morning,1,Bhaktapur,Kirtipur,400,718.29,119.71
181,SMALL,6.2,Light,Afternoon,0,Budhanilkantha,Bhaktapur,400,400.0,64.52
182,MEDIUM,7.5,Light,Afternoon,0,Baneshwor,Swayambhu,700,700.0,93.33
183,MEDIUM,7.4,Heavy,Morning,1,Kirtipur,Kalanki,700,1096.54,148.18
184,SMALL,5.6,Light,Afternoon,0,New Road,Maharajgunj,400,400.0,71.43
185,SMALL,5.8,Heavy,Afternoon,0,Swayambhu,Kalanki,400,513.19,88.48
186,SMALL,7.3,Heavy,Evening,1,Swayambhu,Gaushala,400,616.63,84.47
187,MEDIUM,7.6,Medium,Afternoon,0,Swayambhu,New Road,700,776.61,102.19
188,SMALL,11.6,Light,Night,0,Baneshwor,Gaushala,400,400.0,34.48
189,SMALL,10.7,Heavy,Evening,1,Kirtipur,Chabahil,400,596.27,55.73
190,SMALL,10.6,Medium,Afternoon,0,New Road,Lazimpat,400,480.31,45.31
191,SMALL,16.4,Light,Afternoon,0,Kirtipur,Budhanilkantha,400,400.0,24.39
192,SMALL,10.6,Very Heavy,Evening,1,Lazimpat,Baneshwor,400,787.81,74.32
193,SMALL,3.2,Very Heavy,Morning,1,Baneshwor,Dillibazar,400,791.13,247.23
194,MEDIUM,5.4,Very Heavy,Evening,1,Gaushala,Bhaktapur,700,1189.98,220.37
195,SMALL,3.5,Heavy,Night,0,Baneshwor,New Road,400,497.22,142.06
196,MEDIUM,5.5,Light,Night,0,Swayambhu,Dillibazar,700,700.0,127.27
197,SMALL,11.9,Medium,Afternoon,0,Swayambhu,Bhaktapur,400,445.34,37.42
198,LARGE,12.7,Very Heavy,Morning,1,Bhaktapur,New Road,1200,2273.49,179.01
199,SMALL,7.3,Heavy,Evening,1,Bhaktapur,Dillibazar,400,581.5,79.66
200,SMALL,6.6,Light,Afternoon,0,New Road,Lazimpat,400,433.06,65.62
201,MEDIUM,5.2,Light,Night,0,Maharajgunj,Swayambhu,700,700.0,134.62
202,SMALL,10.1,Light,Afternoon,0,Lazimpat,Dillibazar,400,429.19,42.49
203,LARGE,7.0,Very Heavy,Evening,1,Maharajgunj,Baneshwor,1200,2013.38,287.63
204,SMALL,7.8,Heavy,Morning,1,Budhanilkantha,Swayambhu,400,581.6,74.56
205,LARGE,8.6,Very Heavy,Evening,1,Swayambhu,Lazimpat,1200,2323.91,270.22
206,MEDIUM,8.3,Light,Afternoon,0,Patan,Baneshwor,700,700.0,84.34
207,SMALL,10.2,Light,Afternoon,0,Budhanilkantha,Dillibazar,400,429.63,42.12
208,MEDIUM,10.7,Very Heavy,Morning,1,Patan,Swayambhu,700,1260.55,117.81
209,MEDIUM,5.0,Light,Afternoon,0,Maharajgunj,Chabahil,700,754.92,150.98
210,SMALL,10.4,Very Heavy,Evening,1,Patan,Gaushala,400,781.53,75.15
211,MEDIUM,6.0,Very Heavy,Morning,1,Kalanki,Maharajgunj,700,1304.21,217.37
212,MEDIUM,11.7,Medium,Afternoon,0,Bhaktapur,Thamel,700,750.49,64.14
213,MEDIUM,3.5,Medium,Afternoon,0,Patan,Kirtipur,700,827.16,236.33
214,MEDIUM,11.6,Medium,Afternoon,0,Koteshwor,Bhaktapur,700,785.66,67.73
215,SMALL,9.3,Light,Afternoon,0,Koteshwor,Budhanilkantha,400,400.0,43.01
216,LARGE,12.6,Medium,Afternoon,0,Gaushala,Kalanki,1200,1378.2,109.38
217,SMALL,5.2,Heavy,Morning,1,Thamel,Kalanki,400,626.46,120.47
218,SMALL,8.6,Light,Afternoon,0,Kirtipur,Lazimpat,400,409.28,47.59
219,SMALL,9.0,Medium,Afternoon,0,Dillibazar,Swayambhu,400,440.33,48.93
220,SMALL,8.7,Heavy,Morning,1,Kirtipur,Baneshwor,400,680.16,78.18
221,MEDIUM,8.4,Light,Afternoon,0,Gaushala,Koteshwor,700,714.56,85.07
222,LARGE,8.3,Heavy,Morning,1,Kirtipur,Chabahil,1200,1712.37,206.31
223,SMALL,5.8,Medium,Afternoon,0,Kalanki,Lazimpat,400,444.35,76.61
224,LARGE,8.7,Medium,Afternoon,0,Gaushala,Swayambhu,1200,1338.18,153.81
225,MEDIUM,9.0,Heavy,Evening,1,Gaushala,Budhanilkantha,700,1148.68,127.63
226,MEDIUM,9.1,Medium,Afternoon,0,Baneshwor,Maharajgunj,700,758.68,83.37
227,LARGE,8.7,Heavy,Morning,1,Swayambhu,New Road,1200,1874.85,215.5
228,SMALL,1.5,Heavy,Morning,1,Thamel,New Road,400,652.4,434.93
229,MEDIUM,8.9,Light,Night,0,Patan,Bhaktapur,700,700.0,78.65
230,SMALL,8.0,Heavy,Evening,1,Budhanilkantha,New Road,400,616.08,77.01
231,SMALL,1.5,Heavy,Morning,1,Thamel,New Road,400,604.78,403.19
232,SMALL,6.1,Heavy,Morning,1,Dillibazar,Bhaktapur,400,622.16,101.99
233,MEDIUM,3.1,Very Heavy,Morning,1,Thamel,Dillibazar,700,1247.26,402.34
234,MEDIUM,9.2,Light,Afternoon,0,Maharajgunj,Thamel,700,737.32,80.14
235,SMALL,11.2,Light,Afternoon,0,Bhaktapur,Baneshwor,400,417.47,37.27
236,LARGE,11.9,Light,Afternoon,0,Patan,Koteshwor,1200,1200.0,100.84
237,LARGE,7.9,Medium,Afternoon,0,Bhaktapur,Gaushala,1200,1253.42,158.66
238,SMALL,1.5,Light,Night,0,Dillibazar,New Road,400,400.0,266.67
239,MEDIUM,2.9,Very Heavy,Morning,1,Chabahil,Swayambhu,700,1292.38,445.65
240,SMALL,9.9,Light,Afternoon,0,Budhanilkantha,Patan,400,438.9,44.33
241,SMALL,7.5,Medium,Afternoon,0,Budhanilkantha,Chabahil,400,439.74,58.63
242,MEDIUM,7.0,Heavy,Morning,1,Budhanilkantha,New Road,700,1052.96,150.42
243,SMALL,8.5,Light,Night,0,Koteshwor,Maharajgunj,400,400.0,47.06
244,MEDIUM,6.6,Heavy,Evening,1,Dillibazar,Koteshwor,700,1076.91,163.17
245,SMALL,9.0,Light,Afternoon,0,Maharajgunj,Thamel,400,439.29,48.81
246,MEDIUM,4.8,Medium,Afternoon,0,New Road,Patan,700,822.9,171.44
247,LARGE,9.5,Light,Night,0,Lazimpat,New Road,1200,1200.0,126.32
248,MEDIUM,6.9,Medium,Afternoon,0,Thamel,Lazimpat,700,802.63,116.32
249,SMALL,10.8,Medium,Afternoon,0,Koteshwor,Maharajgunj,400,432.44,40.04
250,MEDIUM,9.7,Medium,Afternoon,0,Bhaktapur,Kirtipur,700,742.88,76.59
251,MEDIUM,7.3,Medium,Afternoon,0,Baneshwor,Kalanki,700,839.27,114.97
252,SMALL,8.3,Medium,Afternoon,0,Kirtipur,Dillibazar,400,446.16,53.75
253,MEDIUM,9.2,Medium,Afternoon,0,Swayambhu,Maharajgunj,700,838.1,91.1
254,SMALL,10.0,Heavy,Morning,1,Swayambhu,Bhaktapur,400,653.1,65.31
255,MEDIUM,7.5,Very Heavy,Morning,1,Maharajgunj,Bhaktapur,700,1364.68,181.96
256,SMALL,11.3,Light,Afternoon,0,Maharajgunj,Thamel,400,400.0,35.4
257,SMALL,8.1,Light,Night,0,Koteshwor,Kirtipur,400,400.0,49.38
258,MEDIUM,6.2,Light,Afternoon,0,Koteshwor,Thamel,700,734.7,118.5
259,SMALL,9.5,Very Heavy,Evening,1,Budhanilkantha,Bhaktapur,400,716.17,75.39
260,SMALL,9.0,Very Heavy,Morning,1,Patan,Gaushala,400,708.13,78.68
261,SMALL,10.5,Heavy,Evening,1,Koteshwor,Kirtipur,400,615.66,58.63
262,MEDIUM,6.7,Very Heavy,Morning,1,Kalanki,Maharajgunj,700,1137.62,169.79
263,SMALL,5.9,Medium,Afternoon,0,Thamel,Bhaktapur,400,400.78,67.93
264,SMALL,10.3,Heavy,Evening,1,Gaushala,Baneshwor,400,574.75,55.8
265,SMALL,8.8,Heavy,Morning,1,Thamel,Koteshwor,400,637.8,72.48
266,SMALL,9.7,Light,Afternoon,0,Kirtipur,Maharajgunj,400,421.74,43.48
267,MEDIUM,7.4,Light,Afternoon,0,Chabahil,Koteshwor,700,700.0,94.59
268,SMALL,12.7,Heavy,Evening,1,Bhaktapur,New Road,400,673.83,53.06
269,SMALL,11.3,Heavy,Morning,1,Patan,Maharajgunj,400,679.12,60.1
270,SMALL,6.5,Heavy,Morning,1,Kirtipur,Kalanki,400,601.67,92.56
271,MEDIUM,11.2,Medium,Afternoon,0,Dillibazar,Kalanki,700,734.79,65.61
272,SMALL,10.9,Heavy,Evening,1,Dillibazar,Budhanilkantha,400,617.95,56.69
273,SMALL,6.5,Medium,Afternoon,0,Swayambhu,Dillibazar,400,456.71,70.26
274,MEDIUM,6.4,Very Heavy,Morning,1,Gaushala,Lazimpat,700,1238.82,193.57
275,SMALL,7.5,Medium,Afternoon,0,Chabahil,Bhaktapur,400,400.93,53.46
276,SMALL,11.3,Medium,Afternoon,0,Gaushala,New Road,400,439.98,38.94
277,SMALL,2.7,Very Heavy,Evening,1,Dillibazar,Baneshwor,400,737.45,273.13
278,SMALL,5.8,Heavy,Afternoon,0,Kalanki,Swayambhu,400,528.28,91.08
279,SMALL,7.3,Very Heavy,Morning,1,Koteshwor,New Road,400,705.59,96.66
280,SMALL,1.5,Medium,Afternoon,0,Gaushala,Chabahil,400,424.97,283.31
281,SMALL,5.1,Very Heavy,Morning,1,Kalanki,Patan,400,678.37,133.01
282,SMALL,7.0,Very Heavy,Evening,1,Lazimpat,Budhanilkantha,400,748.72,106.96
283,MEDIUM,7.5,Heavy,Evening,1,Swayambhu,Koteshwor,700,1151.75,153.57
284,SMALL,11.6,Very Heavy,Evening,1,Chabahil,New Road,400,760.86,65.59
285,MEDIUM,5.9,Heavy,Morning,1,Maharajgunj,Kirtipur,700,1104.07,187.13
286,SMALL,11.8,Light,Afternoon,0,Gaushala,Dillibazar,400,411.07,34.84
287,SMALL,4.8,Heavy,Evening,1,Patan,New Road,400,606.35,126.32
288,SMALL,1.7,Heavy,Morning,1,Baneshwor,Dillibazar,400,572.01,336.48
289,SMALL,9.1,Medium,Afternoon,0,Baneshwor,Gaushala,400,481.64,52.93
290,SMALL,12.4,Very Heavy,Morning,1,Kirtipur,Bhaktapur,400,715.42,57.7
291,LARGE,8.3,Heavy,Evening,1,Patan,Baneshwor,1200,2042.41,246.07
292,LARGE,2.8,Very Heavy,Evening,1,Baneshwor,Koteshwor,1200,2229.76,796.34
293,SMALL,1.9,Heavy,Morning,1,Kalanki,Koteshwor,400,564.15,296.92
294,LARGE,1.5,Medium,Afternoon,0,New Road,Thamel,1200,1430.19,953.46
295,SMALL,9.3,Heavy,Evening,1,Kalanki,Maharajgunj,400,602.97,64.84
296,MEDIUM,9.5,Heavy,Morning,1,Swayambhu,Kirtipur,700,1006.9,105.99
297,SMALL,9.0,Light,Night,0,Kirtipur,Dillibazar,400,400.0,44.44
